OFFICIAL_NAME,COUNTY_NAME,OFFICIAL_SIZE_VALUE,OFFICIAL_MAX_DEPTH_VALUE,PLSS,WBIC
Camp Lake,Oconto,14.56,15,T32N R16E S7 SW SW,487400
Camp Lake,Kenosha,439.34,19,T1N R20E S32 NE NE,747100
Camp Lake,Vilas,37.52,31,T41N R6E S27 SW SE,1839100
Camp One Lake,Bayfield,32.61,40,T47N R7W S33 SW SW,2965700
Camp Two Lake,Bayfield,23.4,35,T46N R8W S6 NE NE,2757700
Campbell Lake,Waupaca,39.87,28,T24N R12E S13 NW NW,284300
Campbellsport Millpond,Fond du Lac,16.4,9.5,T13N R19E S18 NW NE,43300
Canthook Lake,Bayfield,40.2,45,T46N R8W S15 NW NE,2757800
Caroline Lake,Iron,122.43,8,T44N R2W S25 NE NW,2938000
Caroline Lake,Ashland,122.43,8,T44N R2W S25 NE NW,2938000
Caroline Pond,Shawano,22.88,10,T26N R13E S23 NW NE,305500
Carpenter Lake,Vilas,339.12,16,T40N R11E S17 SW NE,976100
Carrol Lake,Vilas,330.32,27,T39N R7E S5 SE SW,1544800
Carrol Lake,Oneida,330.32,27,T39N R7E S5 SE SW,1544800
Carson Pond,Bayfield,4.05,12,T46N R7W S17 NE NW,2901400
Carstens Lake,Manitowoc,22.34,28,T18N R23E S17 SE SE,66800
Cary Pond,Waupaca,21.79,9,T22N R12E S32 NE NW,258400
Casey Lake,Waupaca,21.35,40,T22N R12E S2 NW SE,273200
Casey Lake,Washburn,240.13,27,T40N R13W S16 SE NE,2709100
Castle Rock Lake,Juneau,12980.78,35,T16N R4E S13 SE SE,1345700
Castle Rock Lake,Adams,12980.78,35,T16N R4E S13 SE SE,1345700
Cataract Pond,Monroe,3.17,12,T19N R4W S27 SW NE,1694200
Catfish Lake,Sawyer,6.21,15,T42N R6W S27 NW SW,2417200
Catfish Lake,Vilas,977.54,30,T40N R10E S25 SE NE,1603700
Catfish Lake,Vilas,977.54,30,T40N R10E S25 SE NE,1603700
Cathaline Lake,Vilas,35.84,44,T44N R6E S31 NE SW,2758200
Catherine Lake,Douglas,69.89,6,T45N R10W S36 NE NE,2456700
Cattail Lake,Sawyer,21.68,3,T42N R5W S14 NE SE,2429100
Cave Lake,Oconto,17.36,5,T32N R15E S15 SE NE,419200
Cedar Grove Pond,Walworth,8.49,8,T4N R16E S36 SE NE,755300
Cedar Lake,Waupaca,45.62,50,T24N R13E S8 SW NE,283800
Cedar Lake,Sheboygan,9.08,10,T13N R20E S6 NE NW,8400
Cedar Lake,Chippewa,5.18,18,T32N R8W S9 SW NE,2352700
Cedar Lake,Manitowoc,136.5,21,T17N R21E S24 SW NW,45100
Cedar Lake,Fond du Lac,15.08,19,T14N R19E S26 NW NE,42800
Cedar Lake,Saint Croix,1120.34,32,T31N R18W S2 NE SW,2615100
Cedar Lake,Oconto,3.25,20,T32N R15E S12 SW SW,491400
Cedar Lake,Polk,1120.34,32,T31N R18W S2 NE SW,2615100
Cedar Lake,Iron,186.61,21,T43N R4E S13 NW NW,2309700
Cedar Lake,Vilas,64.45,10,T40N R4E S4 SE SW,2270000
Cedar Lake,Washington,936.97,105,T11N R19E S32 NW NE,25300
Center Lake,Kenosha,126.43,28,T1N R20E S21 NW SE,747300
Chain Lake,Oneida,200.92,19,T39N R9E S28 SE NE,1598000
Chain Lake,Chippewa,454.11,74,T33N R8W S31 NW NW,2350500
Chain Lake,Oconto,76.07,42,T33N R16E S31 NW NW,464700
Chain Lake,Barron,86.38,19,T36N R10W S7 SE SE,1840100
Chain Lake,Rusk,454.11,74,T33N R8W S31 NW NW,2350500
Chain Lakes,Douglas,95.78,11,T43N R11W S22 SE SW,2479800
Chain Lakes,Douglas,77.21,4,T43N R11W S21 NE NE,2598300
Chain O' Lakes,Waupaca,,,T21N R11E S4 SW SW,261100
Chalk Hill Flowage ,Marinette,378.05,30,T35N R22E S7 SW NE,634500
Chelonia Lake,Bayfield,.66,20,T45N R7W S5 SW NW,2758300
Chelsea Lake,Taylor,90.7,23,T33N R1E S35 NE NE,2200400
Cheney Lake,Douglas,19.62,21,T45N R11W S14 SE NE,2758400
Chequamegon Waters Flowage,Taylor,2366.26,22,T31N R3W S2 NW SE,2160700
Cherokee Lake,Dane,193.19,20,T8N R9E S24 NW SW,806500
Cherokee Marsh,Dane,379,23,T8N R9E S23 SW SW,806200
Chick Lake,Chippewa,15.43,28,T32N R8W S20 SE SE,1840500
Chicken Crop Lake,Oconto,28.06,20,T32N R15E S15 SE SW,419300
Chicken Foot Lake,Oconto,44.47,15,T32N R15E S15 SW SW,419400
Chicog Lake,Washburn,124.87,25,T41N R13W S1 SE SE,2692200
Chilton Millpond 75,Calumet,10.58,7,T18N R19E S13 SE NE,81200
Chinty Lake,Washburn,16.44,24,T38N R11W S28 SW NW,1840700
Chip Lake,Sawyer,2.93,25,T42N R5W S29 SE SE,2425200
Chippanazie Lake,Washburn,57.21,31,T41N R10W S13 NE SW,2722800
Chippewa Falls Flowage 5555,Chippewa,954.44,29,T28N R8W S6 SE SE,2152600
Chippewa Falls Flowage 5555,Eau Claire,954.44,29,T28N R8W S6 SE SE,2152600
Chippewa Lake,Bayfield,281.94,11,T43N R5W S22 NE SW,2431300
Christy Lake,Sawyer,121.87,10,T42N R5W S10 SW SW,2425700
Chub Lake,Dodge,138.83,3,T9N R14E S30 NW NW,837300
Church Pine Lake,Polk,87.08,45,T32N R18W S1 SE SW,2616100
Chute Pond,Oconto,433.06,19,T31N R16E S25 SE SW,462520
Cincoe Lake,Waupaca,180.62,2.5,T22N R14E S32 SE NE,271100
Circle Lily Lake,Iron,218.12,35,T42N R5E S6 NW NW,2326700
Circle Lily Lake,Vilas,218.12,35,T42N R5E S6 NW NW,2326700
Cisco Lake,Bayfield,96.27,105,T45N R7W S21 SW SE,2899200
Clair Lake,Vilas,51.47,19,T42N R9E S14 SW SW,1628450
Clam Falls Flowage,Polk,118.51,14,T37N R16W S13 SW NE,2666400
Clam Lake,Burnett,1337.64,11,T39N R16W S34 SE SE,2656200
Clam River Flowage,Burnett,411.93,29,T40N R18W S13 SE SW,2654500
Clara Lake,Polk,55.69,71,T35N R16W S24 SW SE,2457300
Clark Lake,Door,865.12,25,T28N R27E S3 SW SW,97700
Clarke Lake,Taylor,12.82,19,T32N R1E S16 SW SW,2195300
Clawson Lake,Oneida,20.65,29,T39N R6E S23 NE NW,976900
Clay Lake,Bayfield,28.09,45,T45N R7W S8 NW NE,2758500
Clear Lake,Oneida,873.43,95,T39N R7E S16 NE SE,977500
Clear Lake,Chippewa,25.42,15,T31N R8W S23 SE NW,1841200
Clear Lake,Douglas,33.56,39,T43N R12W S15 NE NE,2457700
Clear Lake,Polk,29.99,26,T32N R15W S18 NW NW,2623500
Clear Lake,Oneida,214.29,23,T39N R4E S11 NW NE,2272555
Clear Lake,Chippewa,25.42,15,T31N R8W S23 SE NW,1841200
Clear Lake,Lincoln,258.55,45,T35N R6E S10 SE SE,1555400
Clear Lake,Langlade,86.73,25,T33N R10E S3 SW SE,977000
Clear Lake,Rusk,93.98,74,T33N R9W S36 NE SE,2350600
Clear Lake,Vilas,214.29,23,T39N R4E S11 NW NE,2272555
Clear Lake,Taylor,29.31,24,T31N R1W S1 SE SE,1763900
Clear Lake,Oneida,41.01,10,T37N R7E S24 NE SW,977200
Clear Lake,Rock,77.41,12,T4N R13E S20 NE NE,775000
Clear Lake,Burnett,114.03,55,T38N R16W S20 NW NW,2457600
Clear Lake,Sawyer,76.4,32,T41N R7W S20 NE SE,1841300
Clear Lake,Vilas,515.14,45,T42N R5E S12 NW NW,2329000
Clearwater Lake,Vilas,334.95,48,T39N R10E S23 NW SE,1616400
Clearwater Lake,Oneida,334.95,48,T39N R10E S23 NW SE,1616400
Cloud Lake,Forest,27.75,25,T34N R16E S12 NW NE,499700
Cloverleaf Lake,Washburn,31.12,16,T41N R13W S9 NE NW,2457900
Club Lake,Bayfield,83.77,25,T44N R6W S13 SE SE,2733900
Clyde Lake,Douglas,48.44,10,T43N R11W S26 SE NW,2458100
Cochran Lake,Price,110.79,20,T40N R3E S10 SW NW,2264000
Coffee Lake,Douglas,10.94,29,T46N R11W S22 NE NW,2758800
Coffee Lake,Bayfield,48.5,16,T44N R5W S24 NW SW,2922200
Coleman Lake,Marinette,234.48,67,T36N R18E S17 NE NW,632800
Collins Lake,Portage,42.93,56,T25N R9E S36 NE SE,270200
Collins Lake,Dodge,27.42,20,T9N R17E S1 SE NW,775100
Colton Flowage,Washburn,47.04,22,T42N R10W S6 NE SE,2702100
Columbia Lake,Waupaca,83.95,72,T21N R11E S4 NW NE,262400
Columbus Lake,Oneida,676.55,26,T39N R10E S28 NW NE,1616900
Como Lake,Walworth,955.35,9,T2N R17E S26 NW NW,757900
Como Lake (Bloomer Mill Pond),Chippewa,97.6,10,T30N R9W S8 NE NW,2152100
Comstock Lake,Marquette,25.83,29,T16N R10E S11 NE SW,155570
Comus Lake,Walworth,130.76,6,T2N R16E S18 NW NE,794200
Conners Lake,Burnett,114.95,16,T40N R16W S36 NW SW,2458300
Connors Lake,Sawyer,410.01,82,T38N R3W S28 SE SW,2275100
Cooley Lake,Oconto,62.04,42,T29N R18E S2 NW SE,447200
Coon Fork Flowage,Eau Claire,62.09,20,T26N R5W S29 SW SE,2135600
Coon Lake,Polk,42.23,16,T37N R17W S27 SW SE,2642000
Copper Lake,Lincoln,35.16,24,T33N R7E S22 SW SW,1487800
Cornell Flowage,Chippewa,556,54,T31N R6W S18 SE SW,2181400
Cornell Lake,Chippewa,193.66,39,T31N R8W S34 SE SE,2171000
Cosgrove Lake,Florence,76.36,26,T40N R19E S31 SE SW,585100
County Line Lake,Sawyer,59.19,72,T38N R9W S30 SW NW,1842000
County Line Lake,Washburn,59.19,72,T38N R9W S30 SW NW,1842000
Cox Hollow Lake,Iowa,81.49,28,T6N R3E S11 NW SE,1246500
Crab Lake,Vilas,908.87,60,T43N R6E S14 SW SE,2953500
Cranberry Lake,Vilas,924.33,23,T40N R11E S31 SW SW,1603800
Cranberry Lake,Iron,11.93,47,T44N R4E S15 NE SE,2759100
Cranberry Lake,Bayfield,122.46,12,T44N R9W S30 NW SW,2741700
Cranberry Lake,Douglas,169.48,19,T43N R13W S25 NE NE,2693100
Cranberry Lake,Oneida,924.33,23,T40N R11E S31 SW SW,1603800
Cranberry Lake,Price,466.4,18,T36N R1E S9 NW SE,2217000
Cranberry Lake,Shawano,21.46,12,T29N R12E S17 SW SW,331600
Cranberry Lake,Bayfield,55.75,20,T44N R6W S34 SE NW,2732800
Crane Lake,Bayfield,20.79,10,T44N R7W S15 SW NW,2759300
Crane Lake,Forest,355.22,25,T34N R13E S29 NE NE,388500
Crane and Chase Lake,Price,87.9,22,T38N R1W S28 SW SW,2237500
Cravath Lake,Walworth,70.29,10,T4N R15E S4 SW NE,815200
Crawling Stone Lake,Vilas,1483.28,87,T40N R5E S18 SE NE,2322800
Crawling Stone Lake,Vilas,1483.28,87,T40N R5E S18 SE NE,2322800
Cream Lake,Douglas,3.02,12,T46N R11W S22 SE NW,2759500
Crescent Lake,Oneida,616.02,32,T36N R8E S21 SW NW,1564200
Crooked Lake,Oneida,174.53,13,T38N R11E S26 NW SW,1613300
Crooked Lake,Waukesha,51.44,16,T7N R17E S23 SW NE,826800
Crooked Lake,Adams,47.69,56,T15N R7E S24 NE NW,102600
Crooked Lake,Burnett,250.31,13,T40N R16W S12 SE SE,2459200
Crooked Lake,Fond du Lac,93.61,32,T13N R20E S6 SW SE,37900
Crooked Lake,Bayfield,123.75,34,T47N R8W S26 SE SE,2759600
Crooked Lake,Burnett,168.02,10,T38N R16W S8 NE NE,2459100
Crooked Lake,Douglas,31.85,11,T43N R10W S20 NW NE,2459300
Crooked Lake,Sheboygan,93.61,32,T13N R20E S6 SW SE,37900
Crooked Lake,Oconto,161.85,37,T32N R17E S15 SW NW,462000
Cross Lake,Kenosha,88.51,35,T1N R20E S35 SE SW,746500
Crotty Lake,Douglas,49.82,16,T43N R11W S32 SW NW,2459400
Crowley Flowage 802,Price,353.63,23,T39N R2W S11 SW SE,2287200
Crystal Lake,Vilas,92.64,67,T41N R7E S27 SW NW,1842400
Crystal Lake,Sheboygan,128.97,61,T16N R21E S32 SW SW,45200
Crystal Lake,Forest,75.38,36,T34N R13E S31 SW SW,184200
Crystal Lake,Bayfield,117.27,29,T44N R6W S32 NE SW,2897300
Crystal Lake,Lincoln,104.95,22,T35N R6E S2 SW SE,979100
Crystal Lake,Waupaca,33.27,12,T21N R11E S28 NE NW,184100
Crystal Lake,Bayfield,84.78,27,T47N R9W S15 SW SE,2874700
Crystal Lake,Langlade,75.38,36,T34N R13E S31 SW SW,184200
Crystal Lake,Douglas,291.36,22,T43N R13W S23 SE SE,2459700
Crystal Lake,Barron,109.78,22,T35N R14W S28 SE SW,2459500
Crystal Lake,Marquette,119.31,60,T17N R10E S6 SE SW,157300
Crystal Lake,Iron,89.71,46,T43N R3E S34 NW SW,1842500
Cub Lake,Ashland,31.28,15,T41N R4W S36 SW NW,1842600
Cull Lake,Kenosha,13.39,14,T1N R20E S4 NE NW,748100
Currie Lake,Oneida,94.86,14,T37N R6E S14 SE NE,979300
Currier Lake,Sawyer,18.39,39,T41N R7W S11 SE SE,1842800
Curtis Lake,Waushara,34.71,41,T18N R9E S28 SE NW,156300
Curtis Lake,Oneida,21.79,18,T39N R6E S8 NW SE,979400
Curve Lake,Forest,16.78,10,T34N R16E S18 SW NW,419700
Cycle Lake,Ashland,35.39,25,T42N R1W S25 SE NE,1842900
Cyclone Lake,Washburn,85.81,18,T39N R13W S26 SW SW,2459800
Dairyland Reservoir (Flambeau),Rusk,1870.5,70,T35N R5W S30 NW NW,2229200
Dake Lake,Waupaca,35.01,26,T21N R11E S4 NE SW,264700
Dam Lake,Chippewa,5.93,19,T32N R8W S28 SW SW,1843000
Dam Lake,Oneida,732.07,32,T39N R9E S17 NE NW,1596900
Dark Lake,Chippewa,20.82,57,T32N R8W S19 SW SW,2351800
Dark Lake,Chippewa,16.26,62,T32N R9W S10 NW NW,2092700
Davis Lake,Sawyer,4.74,20,T42N R6W S32 SE NE,1843300
Day Lake,Vilas,109.9,57,T41N R6E S2 NE SE,1843500
Day Lake,Ashland,578.22,20,T43N R4W S30 NE SW,2430300
DeNeveu Lake,Fond du Lac,79.94,67,T15N R18E S30 SW SE,139300
Dead Pike Lake,Vilas,308.56,80,T42N R5E S19 NE SE,2316600
Deadman Lake,Oconto,35.35,45,T32N R15E S22 NE SE,489700
Deans Lake,Portage,5.92,23,T21N R10E S13 SW NW,261900
Deep Lake,Washburn,43.01,25,T38N R11W S19 NE NW,1844000
Deep Lake,Bayfield,100.48,28,T47N R9W S14 NW SE,2760100
Deep Lake,Forest,1.29,20,T34N R16E S18 SW SW,419800
Deep Lake,Adams,33.42,49,T15N R7E S15 SE NW,102800
Deep Wood Lake,Langlade,71,25,T33N R10E S14 SW NW,1445100
Deer Lake,Lincoln,149.71,62,T35N R6E S1 NW SW,1519600
Deer Lake,Price,26.67,20,T40N R3E S34 NE NE,2268100
Deer Lake,Douglas,4.53,26,T46N R13W S10 NE NE,2760400
Deer Lake,Forest,55.49,20,T34N R16E S9 NE SE,548700
Deer Lake,Sawyer,419.6,18,T37N R8W S32 SW SW,2374600
Deer Lake,Price,142.51,18,T38N R1E S31 SW SW,2239100
Deer Lake,Sawyer,419.6,18,T37N R8W S32 SW SW,2374600
Deer Lake,Oneida,188.19,20,T38N R11E S10 NE NW,1612300
Deer Lake,Burnett,152.8,23,T41N R14W S7 SW SW,2460700
Deer Lake,Polk,785.5,46,T34N R17W S29 SE SW,2619400
Deer Lake,Chippewa,5.64,19,T32N R8W S36 SE SW,2347500
Deer Lake,Washburn,105.13,19,T40N R13W S8 SE SE,2708900
Deer Print Lake,Douglas,18.72,6,T45N R10W S28 NE NE,2746100
Delano Lake,Sawyer,13.54,15,T42N R5W S2 SE NE,1844400
Delavan Lake,Walworth,1905.99,52,T2N R16E S20 SE SE,793600
Dells Lake,Bayfield,109.49,42,T43N R5W S27 NW SW,1844500
Dells Millpond (Rodell),Eau Claire,65.97,16,T26N R6W S19 NE NE,2131000
Dells Pond,Eau Claire,621.75,30,T27N R9W S18 NE NE,2149900
Delmonte Lake,Racine,3.54,6,T3N R19E S18 SW SW,751800
Delton Lake,Sauk,249.23,16,T13N R6E S15 SW NE,1295400
Denault Spring,Langlade,.33,9,T30N R11E S25 NW SE,315000
Derosier Lake,Washburn,105.91,11,T42N R11W S2 SE SW,2460900
Des Moines Lake,Burnett,214.86,37,T41N R14W S28 SW SE,2674200
Devils Lake,Sauk,374.08,47,T11N R6E S24 NW SE,980900
Devils Lake,Burnett,974.92,24,T40N R16W S34 SW NE,2461100
Devils Lake,Bayfield,21.97,44,T44N R9W S16 SE NW,2742800
Dexter Lake,Wood,286.7,17,T22N R3E S23 NW NW,1369900
Dexter Lake,Wood,286.7,17,T22N R3E S23 NW NW,1369900
Diamond Lake,Oneida,117.28,17,T39N R5E S7 SE SE,1537100
Diamond Lake,Vilas,114.85,40,T41N R6E S11 SW NE,1844700
Diamond Lake,Taylor,49.09,30,T30N R2W S6 SW SW,1757200
Diamond Lake,Bayfield,322.36,83,T44N R6W S29 NW SW,2897100
Dickman Lake,Fond du Lac,6.45,12,T13N R19E S16 SE SW,41900
Diene Lake,Langlade,2.6,10,T32N R14E S23 NE SW,419900
Dilley Lake,Washburn,71.43,10,T39N R11W S18 NW NE,2712800
Dinger Lake,Polk,14.01,16,T37N R15W S30 NW NW,2461300
Dock Lake,Washburn,45.26,6,T39N R13W S21 NE NW,2461400
Dog Lake,Oneida,201.7,22,T38N R11E S15 NW NW,1612900
Dollar Lake,Oconto,1.66,15,T32N R15E S8 SW SE,420000
Dorothy Lake,Oneida,96.28,35,T39N R7E S35 SW SE,981200
Dowling Lake,Douglas,141.41,13,T46N R13W S7 SW SW,2858300
Druid Lake,Washington,122.4,53,T9N R18E S6 NE SE,855200
Drummond Lake,Bayfield,96.8,49,T45N R7W S29 SE NE,2899400
Duchien Lake,Taylor,5.01,35,T33N R2E S20 NE SW,2201000
Duck Lake,Barron,109.08,26,T36N R13W S33 SW SW,2100300
Duck Lake,Bayfield,29.96,30,T43N R5W S13 SE SW,2431000
Duck Lake,Vilas,105.93,20,T40N R10E S21 NE NE,1599900
Duck Lake,Langlade,119.71,19,T34N R10E S33 SE SW,981500
Duck Lake,Ashland,29.96,30,T43N R5W S13 SE SW,2431000
Dugan Lake,Washburn,51.64,35,T39N R10W S29 SW NE,2714200
Dumke Lake,Chippewa,10.17,25,T32N R8W S34 NW NW,1846100
Dunham Lake,Burnett,230.59,63,T38N R17W S28 NW SE,2651800
Dunn Lake,Washburn,181.38,39,T40N R13W S14 SE SW,2709800
Duroy Lake,Price,350.49,18,T37N R1E S18 NE NW,2240100
Durphee Lake,Sawyer,197.65,16,T40N R9W S34 SE SW,2396800
Dutchman Lake,Waukesha,33.26,43,T6N R17E S2 NW SE,826400
Dvorak Lake,Marinette,3.49,6,T37N R18E S34 NW NW,621300
Dyer Lake,Kenosha,60.61,13,T2N R19E S30 NE SW,751100
Dynamite Lake,Langlade,100.44,28,T33N R10E S5 SE SW,1451700
Eagle Lake,Chippewa,17.42,20,T31N R8W S16 NW NE,1846600
Eagle Lake,Burnett,71.03,15,T41N R15W S34 NW SW,2672100
Eagle Lake,Vilas,574.82,34,T40N R10E S23 NW SW,1600200
Eagle Lake,Racine,529.33,11,T3N R20E S21 NE SW,759800
Eagle Lake,Bayfield,163.42,52,T46N R8W S3 SE NW,2902900
Eagle Nest Flowage ,Juneau,350.39,12,T19N R2E S32 SE NE,1315000
Eagle Spring Lake,Waukesha,279.3,8,T5N R17E S36 NW NE,768600
Eagle Spring Lake,Walworth,279.3,8,T5N R17E S36 NW NE,768600
East Alaska Lake,Kewaunee,50.36,50,T24N R25E S20 NW NW,94200
East Davis Lake,Bayfield,10.74,10,T44N R6W S11 SW NW,2462100
East Eightmile Lake,Bayfield,31.8,22,T46N R9W S35 SW SE,2462200
East Horsehead Lake,Oneida,191.46,27,T37N R7E S16 NE NE,1523000
East Lake,Portage,11.67,4,T21N R9E S25 NE SE,185600
East Lake,Florence,48.29,27,T39N R19E S3 NW NW,702400
East Mitchell Lake,Oneida,37.43,21,T37N R6E S35 SE NE,982300
East Twin Lake,Ashland,112.32,15,T43N R4W S22 SW NE,2429000
East Wilcox Lake,Washburn,27.23,12,T41N R12W S18 NW NW,2462500
Easton Lake,Adams,32.61,11,T16N R6E S29 SE NW,1343600
Eau Claire Flowage,Marathon,78.6,10,T28N R7E S12 SE SE,1437800
Eau Claire Lake,Eau Claire,1359.93,25,T26N R6W S5 SW SW,2133200
Eau Claire River Flowage,Douglas,55.65,22,T43N R11W S6 SE NE,2740900
Ebert Lake,Portage,12.48,30,T23N R10E S30 NW NW,267700
Echo Lake,Marinette,24.65,15,T37N R21E S15 NE SE,638000
Echo Lake,Racine,69.66,11,T3N R19E S32 NW NE,751400
Echo Lake,Iron,205.1,25,T43N R3E S24 SW SE,2301800
Echo Lake,Oneida,92.89,18,T39N R9E S33 SW NW,1597800
Echo Lake,Barron,172.47,41,T34N R14W S7 NE NE,2630200
Edith Lake,Florence,42.17,72,T40N R17E S18 SW NE,706000
Ehne Lake,Washington,15.56,15,T12N R20E S29 NE NW,27900
Eland Pond,Shawano,1.17,6,T28N R11E S31 NE NW,3000627
Elbow Lake,Burnett,234.03,8,T38N R16W S31 NW NE,2463100
Elbow Lake,Polk,234.03,8,T38N R16W S31 NW NE,2463100
Eleva Pond,Trempealeau,8.09,9,T24N R9W S10 NW SW,1823500
Elizabeth Lake,Kenosha,724.58,32,T46N R8E S3 SE NE,742800
Elk Creek Lake*,Eau Claire,57.31,17,T27N R11W S13 SE SE,2121000
Elk Creek Lake*,Dunn,57.31,17,T27N R11W S13 SE SE,2121000
Elk Lake,Price,87.33,25,T37N R1E S7 SW NW,2240000
Elkhart Lake,Sheboygan,291.59,119,T16N R21E S30 NW NW,59300
Ell Lake,Portage,22.63,20,T23N R9E S13 SW NW,186000
Ellison Lake,Douglas,118.39,18,T45N R9W S30 NW NW,2463300
Ellison Lake,Bayfield,118.39,18,T45N R9W S30 NW NW,2463300
Ellsworth Lake,Washburn,160.93,6,T39N R13W S17 NW SE,2463500
Ellwood Lake,Florence,129.58,25,T39N R19E S17 SE NE,650500
Elm Lake,Oneida,35.8,20,T38N R11E S13 SW SE,1613700
Elna Lake,Oneida,21.16,14,T37N R7E S13 SW NW,983300
Emerald Lake,Vilas,28.3,22,T41N R7E S33 NW NW,1847500
Emerson Lake,Bayfield,8.2,15,T43N R6W S32 NW SW,2463700
Emerson Lake (Humbird Pond),Clark,34.11,8,T24N R4W S29 SE SW,1712800
Emily Lake,Florence,183.29,43,T39N R18E S8 NW SW,651600
Emily Lake,Vilas,30.6,20,T40N R4E S8 NE NW,2269600
Emma Lake,Oneida,226.53,17,T36N R8E S21 SE NW,983500
Emmons Lake,Waupaca,1.99,22,T21N R11E S5 SE SW,261500
Emrick Lake,Marquette,32.29,79,T15N R8E S7 NW NW,103300
English Lake,Manitowoc,47.95,85,T18N R23E S7 SE NW,68100
English Lake,Ashland,231.54,40,T44N R3W S5 SW SE,2914800
Ennis Lake,Marquette,28.94,31,T14N R9E S14 SE SW,171000
Enterprise Lake,Langlade,508.73,27,T34N R10E S3 NW SW,1579700
Erler Lake,Washington,35.3,34,T12N R20E S27 NW SE,27500
Esadore Lake,Taylor,47.53,36,T31N R1W S1 SE SW,1764000
Escanaba Lake,Vilas,302.87,26,T42N R7E S35 SE SE,2339900
Eska Lake,Taylor,10.45,55,T31N R2W S3 SW SE,1667200
Esox Lake,Bayfield,44.25,48,T45N R7W S21 NW SE,2761400
Etter Lake,Waukesha,10.13,4.5,T7N R18E S25 NW SE,740600
Eugene Lake,Forest,20.14,5,T35N R15E S31 SW NE,479200
Eureka Lake,Ashland,39.03,28,T44N R2W S14 SE SW,2935600
Europe Lake,Door,297.32,10,T32N R29E S9 NW NW,93100
Evans Lake,Chippewa,14.56,11,T31N R8W S15 NW SW,1847600
Evelyn Lake,Sawyer,17.55,15,T42N R5W S6 NE NE,1847700
Evelyn Lake,Bayfield,17.55,15,T42N R5W S6 NE NE,1847700
Everett Lake,Bayfield,33.85,55,T46N R7W S18 NW NE,2761600
Evergreen Lake,Forest,6.25,15,T34N R16E S11 NE SE,551000
Evergreen Lake,Chippewa,3.38,31,T31N R8W S13 NE NW,2179700
Evergreen Lake,Sawyer,204.2,25,T39N R3W S36 SW SW,2277600
Explosion Lake,Oconto,43.42,10,T33N R15E S29 NE NE,466900
Fairchild Pond,Eau Claire,16.53,8.5,T25N R5W S35 NE NW,2136200
Falk Lake,Burnett,75.9,30,T40N R16W S2 NW SE,2670900
Fall Creek Pond,Eau Claire,14.96,10,T26N R7W S6 NW NE,2130100
Fallison Lake,Vilas,50.85,43,T41N R7E S33 NE SE,1847800
Fanny Lake,Oconto,17.16,15,T32N R15E S7 SE NW,420400
Farr Lake,Oconto,11.75,15,T31N R17E S15 SW SE,420500
Favil Lake,Vilas,42.34,20,T40N R4E S9 SW NE,2269900
Fawn Lake,Sawyer,3.39,15,T40N R6W S11 SW SW,1848200
Fawn Lake,Vilas,69.88,14,T42N R5E S11 SE SE,2328900
Fawn Lake,Sawyer,27.58,35,T42N R7W S22 NE NE,2435900
Fay Lake,Florence,272.48,10,T39N R15E S16 NW NW,677100
Fence Lake,Vilas,3482.68,86,T40N R5E S16 NE SW,2323000
Fenner Lake,Adams,40.94,18,T16N R7E S13 SE SE,103400
Fenner Lake,Marquette,40.94,18,T16N R7E S13 SE SE,103400
Fenton Lake,Washburn,70.45,52,T37N R11W S28 NW NW,1848400
Fifth Lake,Oneida,237.98,9,T36N R10E S4 SE NW,1571100
Finger Lake,Bayfield,46.14,25,T47N R7W S32 SE NW,2965500
Finley Lake,Vilas,108.26,26,T40N R9E S31 NW NE,984800
Finley Lake,Chippewa,57.99,30,T30N R8W S1 SE SE,2175700
Firefly Lake,Vilas,32.64,46,T41N R7E S28 SW SW,1848900
Fireside Lakes,Rusk,302,30,T33N R8W S23 SW SW,2349500
First Lake,Trempealeau,19.34,2.5,T18N R9W S26 SW SW,728900
Firth Lake,Chippewa,46.52,22,T31N R7W S2 SW NW,2176200
Fish Lake,Waushara,163.87,37,T19N R8E S13 NW NE,985000
Fish Lake,Dane,198.6,62,T9N R7E S3 NW SE,985100
Fish Lake,Rusk,106.84,40,T33N R9W S32 NE NE,1849100
Fish Lake,Burnett,83.17,7,T38N R16W S6 NE SW,2464400
Fish Lake,Burnett,330.09,29,T40N R14W S4 SW SW,2464500
Fisher Lake,Florence,50.42,42,T40N R18E S28 NE NE,704200
Fisher Lake,Iron,441.2,21,T44N R4E S34 SE NW,2307300
Fishpole Lake,Chippewa,11,53,T31N R8W S3 SE NE,1849200
Fishtrap Lake,Sawyer,262.6,11,T40N R5W S13 NW SW,2401100
Fishtrap Lake,Vilas,339.09,34,T42N R7E S11 NE SE,2343200
Five Island Lake,Bayfield,49.8,24,T47N R8W S34 NE SE,2761900
Flambeau Lake,Vilas,1165.52,78,T40N R4E S1 SW NW,2320500
Flambeau Lake,Vilas,1165.52,78,T40N R4E S1 SW NW,2320500
Flanagan Lake,Kenosha,10.9,24,T2N R20E S30 NE NW,748800
Flannery Lake,Oneida,106.89,35,T37N R8E S33 NE NW,985300
Flat Lake,Douglas,65.36,4,T44N R11W S3 NW SW,2464700
Flora Lake,Vilas,101.84,40,T43N R7E S30 NE SE,2336300
Florence Lake,Langlade,56.54,29,T31N R13E S33 SW SW,352400
Florence Lake,Waukesha,21.03,48,T8N R17E S36 SW SW,775700
